Pozo,Status,Net_Pay_m,HCPV_m,Phi_Pay_Avg_%,Sw_Pay_Avg_Frac,Vsh_Pay_Avg_Frac,Tope_m,Base_m
31_2-19 S,OK,247.3,24.67,14.28,0.301,0.308,367.94,4126.75
30_3-5 S,OK,150.94,23.95,20.67,0.232,0.264,433.17,4707.71
34_8-1,OK,143.64,20.91,22.71,0.359,0.381,345.31,3621.82
KGS_1,OK,190.35,20.85,16.27,0.327,0.162,73.43,638.83
KGS_T1S R13E_2,OK,190.35,20.85,16.27,0.327,0.162,73.43,638.83
34_11-2 S,OK,220.7,20.44,12.53,0.261,0.296,286.0,4757.99
35_6-2 S,OK,216.3,20.25,14.79,0.367,0.239,365.96,3701.9
34_10-16 R,OK,138.78,19.41,18.43,0.241,0.311,163.15,4051.01
35_11-15 S,OK,122.66,18.27,21.47,0.306,0.177,391.26,3252.35
KGS_2,OK,171.91,17.9,15.67,0.336,0.201,49.19,1107.31
35_11-10,OK,85.12,16.93,25.66,0.225,0.167,372.0,2950.83
29_3-1,OK,149.72,16.01,16.43,0.349,0.24,132.61,4466.59
34_8-3,OK,96.22,15.98,21.73,0.235,0.286,411.38,3334.18
34_3-3 A,OK,88.46,14.66,22.98,0.279,0.076,418.39,5012.89
1044818741,OK,152.25,13.48,14.42,0.386,0.207,92.35,1086.76
35_11-13,OK,89.98,13.2,20.67,0.29,0.273,386.08,3292.01
34_10-33,OK,88.77,13.02,17.77,0.174,0.341,156.0,3878.33
15_9-17,OK,94.54,12.86,21.08,0.355,0.202,102.61,3123.16
16_2-11 A,OK,95.76,12.55,22.64,0.421,0.389,138.12,2368.12
35_11-7,OK,81.17,12.49,22.25,0.309,0.234,385.75,2900.74
35_11-6,OK,117.8,12.19,15.38,0.327,0.306,390.14,3997.41
35_9-8,OK,101.54,11.78,18.43,0.37,0.385,392.02,3255.85
35_3-7 S,OK,141.21,11.53,13.78,0.408,0.428,282.09,4052.0
25_5-1,OK,65.36,11.25,20.96,0.179,0.272,145.0,3432.3
34_10-21,OK,96.52,11.15,17.2,0.328,0.314,226.21,4014.81
35_9-7,OK,86.34,11.09,17.0,0.244,0.359,397.05,3006.13
35_4-1,OK,131.63,11.01,13.81,0.394,0.321,403.76,4958.44
25_11-15,OK,42.1,10.81,29.83,0.139,0.447,150.0,2034.95
34_11-1,OK,70.53,10.67,21.11,0.283,0.103,65.88,4578.6
34_6-1 S,OK,90.59,10.28,19.29,0.412,0.392,406.19,4366.86
25_2-13 T4,OK,83.6,10.07,16.01,0.248,0.341,185.0,3907.63
35_9-6 S,OK,102.3,9.98,13.77,0.292,0.154,395.0,3754.81
34_3-1 A,OK,70.53,9.81,20.54,0.323,0.288,436.22,4162.04
34_12-1,OK,110.66,9.67,13.88,0.37,0.266,398.12,4719.93
25_2-7,OK,77.52,9.09,17.31,0.323,0.378,133.61,4094.43
30_6-5,OK,65.06,8.76,19.7,0.317,0.287,74.07,3556.23
31_2-21 S,OK,67.34,7.68,18.12,0.371,0.373,379.76,3218.97
34_5-1 S,OK,56.24,7.61,21.77,0.379,0.288,412.14,3902.82
25_8-5 S,OK,88.01,7.18,14.01,0.418,0.39,274.17,3394.88
16_5-3,OK,50.16,7.02,25.14,0.444,0.43,131.26,1993.57
35_9-2,OK,51.38,6.83,18.1,0.266,0.45,368.96,2891.86
